speciesId,species_lsid,family,genus,species,subspecies,author,year,parentheses,distribution
31806,urn:lsid:nmbe.ch:spidersp:038329,Salticidae,Phidippus,apacheanus,,Chamberlin & Gertsch,1929,0,"USA, Mexico, Cuba"
31807,urn:lsid:nmbe.ch:spidersp:035426,Salticidae,Phidippus,ardens,,G. W. Peckham & E. G. Peckham,1901,0,"USA, Mexico"
31808,urn:lsid:nmbe.ch:spidersp:035427,Salticidae,Phidippus,arizonensis,,G. W. Peckham & E. G. Peckham,1883,1,"USA, Mexico"
31809,urn:lsid:nmbe.ch:spidersp:035429,Salticidae,Phidippus,asotus,,Chamberlin & Ivie,1933,0,"USA, Mexico"
31810,urn:lsid:nmbe.ch:spidersp:035430,Salticidae,Phidippus,audax,,Hentz,1845,1,"Canada, USA, Mexico. Introduced to Hawaii, Azores, India (Nicobar Is.)"
31816,urn:lsid:nmbe.ch:spidersp:039134,Salticidae,Phidippus,boei,,Edwards,2004,0,"USA, Mexico"
31819,urn:lsid:nmbe.ch:spidersp:035439,Salticidae,Phidippus,californicus,,G. W. Peckham & E. G. Peckham,1901,0,"USA, Mexico"
31820,urn:lsid:nmbe.ch:spidersp:035440,Salticidae,Phidippus,cardinalis,,Hentz,1845,1,"USA, Mexico, possibly Panama"
31821,urn:lsid:nmbe.ch:spidersp:035441,Salticidae,Phidippus,carneus,,G. W. Peckham & E. G. Peckham,1896,0,"USA, Mexico"
31822,urn:lsid:nmbe.ch:spidersp:035442,Salticidae,Phidippus,carolinensis,,G. W. Peckham & E. G. Peckham,1909,0,"USA, Mexico"
31823,urn:lsid:nmbe.ch:spidersp:039136,Salticidae,Phidippus,cerberus,,Edwards,2004,0,Mexico
31824,urn:lsid:nmbe.ch:spidersp:035446,Salticidae,Phidippus,clarus,,Keyserling,1885,0,"Canada, USA, Mexico"
31825,urn:lsid:nmbe.ch:spidersp:035448,Salticidae,Phidippus,comatus,,G. W. Peckham & E. G. Peckham,1901,0,"Canada, USA, Mexico"
31827,urn:lsid:nmbe.ch:spidersp:035450,Salticidae,Phidippus,cruentus,,F. O. Pickard-Cambridge,1901,0,Mexico
31829,urn:lsid:nmbe.ch:spidersp:039138,Salticidae,Phidippus,dianthus,,Edwards,2004,0,Mexico
31832,urn:lsid:nmbe.ch:spidersp:035460,Salticidae,Phidippus,georgii,,G. W. Peckham & E. G. Peckham,1896,0,Mexico to El Salvador
31836,urn:lsid:nmbe.ch:spidersp:035467,Salticidae,Phidippus,johnsoni,,G. W. Peckham & E. G. Peckham,1883,1,"Canada, USA, Mexico"
31840,urn:lsid:nmbe.ch:spidersp:039142,Salticidae,Phidippus,maddisoni,,Edwards,2004,0,Mexico
31842,urn:lsid:nmbe.ch:spidersp:039143,Salticidae,Phidippus,mimicus,,Edwards,2004,0,Mexico
31843,urn:lsid:nmbe.ch:spidersp:039144,Salticidae,Phidippus,morpheus,,Edwards,2004,0,"USA, Mexico"
31845,urn:lsid:nmbe.ch:spidersp:035476,Salticidae,Phidippus,nikites,,Chamberlin & Ivie,1935,0,"USA, Mexico"
